name,seed,weights,preprocessor,num_classes,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1,pca_components,neighbors
exp_202,33,True,ised_features,2,0.9078014184397164,0.9107142857142856,0.8644067796610171,0.8869565217391304,2,3
exp_203,33,False,ised_features,2,0.9290780141843972,0.9803921568627452,0.8474576271186439,0.9090909090909092,2,3
exp_199,33,False,openl3,2,0.9361702127659576,0.9310344827586208,0.9152542372881356,0.923076923076923,2,3
exp_198,33,True,openl3,2,0.9716312056737588,0.9824561403508772,0.9491525423728814,0.9655172413793104,2,3
exp_201,33,False,vggish,2,0.950354609929078,1.0,0.8813559322033898,0.936936936936937,2,3
exp_200,33,True,vggish,2,0.9361702127659576,0.9310344827586208,0.9152542372881356,0.923076923076923,2,3
exp_205,34,False,openl3,2,0.9078014184397164,0.9433962264150944,0.8333333333333334,0.8849557522123894,2,3
exp_204,34,True,openl3,2,0.9290780141843972,0.9310344827586208,0.9,0.9152542372881356,2,3
exp_206,34,True,vggish,2,0.8794326241134752,0.9215686274509804,0.7833333333333333,0.8468468468468469,2,3
exp_208,34,True,ised_features,2,0.8581560283687943,0.8703703703703703,0.7833333333333333,0.8245614035087719,2,3
exp_209,34,False,ised_features,2,0.8723404255319149,0.9038461538461541,0.7833333333333333,0.8392857142857143,2,3
exp_207,34,False,vggish,2,0.8794326241134752,0.9215686274509804,0.7833333333333333,0.8468468468468469,2,3
exp_210,35,True,openl3,2,0.9574468085106383,0.9710144927536232,0.943661971830986,0.9571428571428572,2,3
exp_211,35,False,openl3,2,0.9007092198581559,0.88,0.9295774647887324,0.9041095890410958,2,3
exp_213,35,False,vggish,2,0.9007092198581559,0.8904109589041096,0.9154929577464788,0.9027777777777778,2,3
exp_214,35,True,ised_features,2,0.8794326241134752,0.8375,0.943661971830986,0.8874172185430463,2,3
exp_215,35,False,ised_features,2,0.8723404255319149,0.8354430379746836,0.9295774647887324,0.88,2,3
exp_212,35,True,vggish,2,0.9078014184397164,0.8918918918918919,0.9295774647887324,0.9103448275862068,2,3
exp_193,32,False,openl3,2,0.8794326241134752,0.9583333333333334,0.7540983606557377,0.8440366972477064,2,3
exp_194,32,True,vggish,2,0.9432624113475178,0.9491525423728814,0.918032786885246,0.9333333333333332,2,3
exp_195,32,False,vggish,2,0.9290780141843972,0.9636363636363636,0.8688524590163934,0.9137931034482758,2,3
exp_192,32,True,openl3,2,0.9645390070921984,1.0,0.918032786885246,0.9572649572649572,2,3
exp_197,32,False,ised_features,2,0.8723404255319149,0.8771929824561403,0.819672131147541,0.8474576271186439,2,3
exp_196,32,True,ised_features,2,0.8723404255319149,0.8644067796610171,0.8360655737704918,0.85,2,3
exp_258,43,True,openl3,2,0.950354609929078,0.9433962264150944,0.9259259259259259,0.9345794392523364,2,3
exp_260,43,True,vggish,2,0.9290780141843972,0.94,0.8703703703703703,0.9038461538461541,2,3
exp_261,43,False,vggish,2,0.9290780141843972,0.9230769230769232,0.8888888888888888,0.9056603773584906,2,3
exp_259,43,False,openl3,2,0.8865248226950354,0.8392857142857143,0.8703703703703703,0.8545454545454546,2,3
exp_263,43,False,ised_features,2,0.8581560283687943,0.84,0.7777777777777778,0.8076923076923077,2,3
exp_262,43,True,ised_features,2,0.8368794326241135,0.8039215686274509,0.7592592592592593,0.7809523809523811,2,3
exp_267,44,False,vggish,2,0.9148936170212766,0.912280701754386,0.8813559322033898,0.8965517241379309,2,3
exp_269,44,False,ised_features,2,0.8794326241134752,0.9038461538461541,0.7966101694915254,0.8468468468468469,2,3
exp_268,44,True,ised_features,2,0.8723404255319149,0.9019607843137256,0.7796610169491526,0.8363636363636364,2,3
exp_266,44,True,vggish,2,0.9290780141843972,0.9622641509433962,0.8644067796610171,0.9107142857142856,2,3
exp_264,44,True,openl3,2,0.9858156028368794,1.0,0.9661016949152542,0.9827586206896552,2,3
exp_265,44,False,openl3,2,0.9290780141843972,0.9298245614035088,0.8983050847457628,0.9137931034482759,2,3
exp_126,21,True,openl3,2,0.9716312056737588,1.0,0.9344262295081968,0.9661016949152544,2,3
exp_128,21,True,vggish,2,0.9432624113475178,0.9818181818181818,0.8852459016393442,0.9310344827586208,2,3
exp_129,21,False,vggish,2,0.9361702127659576,0.9642857142857144,0.8852459016393442,0.923076923076923,2,3
exp_127,21,False,openl3,2,0.8723404255319149,0.8909090909090909,0.8032786885245902,0.8448275862068965,2,3
exp_130,21,True,ised_features,2,0.8936170212765957,0.9107142857142856,0.8360655737704918,0.8717948717948717,2,3
exp_131,21,False,ised_features,2,0.8865248226950354,0.8813559322033898,0.8524590163934426,0.8666666666666666,2,3
exp_119,19,False,ised_features,2,0.8723404255319149,0.8688524590163934,0.8412698412698413,0.8548387096774194,2,3
exp_117,19,False,vggish,2,0.9007092198581559,0.8769230769230769,0.9047619047619048,0.890625,2,3
exp_116,19,True,vggish,2,0.9219858156028368,0.9193548387096774,0.9047619047619048,0.912,2,3
exp_118,19,True,ised_features,2,0.8794326241134752,0.8833333333333333,0.8412698412698413,0.8617886178861788,2,3
exp_114,19,True,openl3,2,0.9716312056737588,0.953846153846154,0.9841269841269841,0.96875,2,3
exp_115,19,False,openl3,2,0.9078014184397164,0.8676470588235294,0.9365079365079364,0.900763358778626,2,3
exp_158,26,True,vggish,2,0.9432624113475178,0.95,0.9193548387096774,0.9344262295081968,2,3
exp_160,26,True,ised_features,2,0.8581560283687943,0.85,0.8225806451612904,0.8360655737704918,2,3
exp_156,26,True,openl3,2,0.9716312056737588,0.967741935483871,0.967741935483871,0.967741935483871,2,3
exp_157,26,False,openl3,2,0.8226950354609929,0.7846153846153846,0.8225806451612904,0.8031496062992126,2,3
exp_161,26,False,ised_features,2,0.8581560283687943,0.8387096774193549,0.8387096774193549,0.8387096774193549,2,3
exp_159,26,False,vggish,2,0.9574468085106383,1.0,0.9032258064516128,0.9491525423728812,2,3
exp_61,10,False,openl3,2,0.8936170212765957,0.8571428571428571,0.8727272727272727,0.8648648648648648,2,3
exp_60,10,True,openl3,2,0.9574468085106383,0.9803921568627452,0.9090909090909092,0.9433962264150944,2,3
exp_65,10,False,ised_features,2,0.851063829787234,0.7931034482758621,0.8363636363636363,0.8141592920353982,2,3
exp_62,10,True,vggish,2,0.9290780141843972,0.9411764705882352,0.8727272727272727,0.9056603773584904,2,3
exp_63,10,False,vggish,2,0.9219858156028368,0.94,0.8545454545454545,0.8952380952380952,2,3
exp_64,10,True,ised_features,2,0.8581560283687943,0.8070175438596491,0.8363636363636363,0.8214285714285714,2,3
exp_169,28,False,openl3,2,0.9007092198581559,0.8771929824561403,0.8771929824561403,0.8771929824561403,2,3
exp_168,28,True,openl3,2,0.950354609929078,0.9464285714285714,0.9298245614035088,0.9380530973451328,2,3
exp_172,28,True,ised_features,2,0.851063829787234,0.86,0.7543859649122807,0.8037383177570094,2,3
exp_173,28,False,ised_features,2,0.8652482269503546,0.9130434782608696,0.7368421052631579,0.8155339805825242,2,3
exp_171,28,False,vggish,2,0.8652482269503546,0.8518518518518519,0.8070175438596491,0.8288288288288288,2,3
exp_170,28,True,vggish,2,0.9148936170212766,0.8947368421052632,0.8947368421052632,0.8947368421052632,2,3
exp_105,17,False,vggish,2,0.9290780141843972,1.0,0.8484848484848485,0.9180327868852458,2,3
exp_102,17,True,openl3,2,0.9219858156028368,0.9365079365079364,0.8939393939393939,0.9147286821705426,2,3
exp_103,17,False,openl3,2,0.8936170212765957,0.9047619047619048,0.8636363636363636,0.8837209302325582,2,3
exp_104,17,True,vggish,2,0.9219858156028368,0.9661016949152542,0.8636363636363636,0.912,2,3
exp_106,17,True,ised_features,2,0.8794326241134752,0.9016393442622952,0.8333333333333334,0.8661417322834646,2,3
exp_107,17,False,ised_features,2,0.8652482269503546,0.912280701754386,0.7878787878787878,0.8455284552845528,2,3
exp_275,45,False,ised_features,2,0.8723404255319149,0.8297872340425532,0.7959183673469388,0.8125,2,3
exp_272,45,True,vggish,2,0.8936170212765957,0.8269230769230769,0.8775510204081632,0.8514851485148514,2,3
exp_273,45,False,vggish,2,0.9148936170212766,0.8627450980392157,0.8979591836734694,0.8799999999999999,2,3
exp_274,45,True,ised_features,2,0.8865248226950354,0.8837209302325582,0.7755102040816326,0.826086956521739,2,3
exp_271,45,False,openl3,2,0.9361702127659576,0.9347826086956522,0.8775510204081632,0.9052631578947368,2,3
exp_270,45,True,openl3,2,0.9645390070921984,0.9583333333333334,0.9387755102040816,0.9484536082474228,2,3
exp_256,42,True,ised_features,2,0.8936170212765957,0.9636363636363636,0.803030303030303,0.8760330578512396,2,3
exp_257,42,False,ised_features,2,0.9007092198581559,0.9642857142857144,0.8181818181818182,0.8852459016393442,2,3
exp_252,42,True,openl3,2,0.9645390070921984,0.9552238805970148,0.9696969696969696,0.9624060150375942,2,3
exp_255,42,False,vggish,2,0.8794326241134752,0.855072463768116,0.8939393939393939,0.8740740740740741,2,3
exp_254,42,True,vggish,2,0.9361702127659576,0.9523809523809524,0.9090909090909092,0.9302325581395348,2,3
exp_253,42,False,openl3,2,0.9290780141843972,0.9516129032258064,0.8939393939393939,0.921875,2,3
exp_175,29,False,openl3,2,0.9290780141843972,0.8867924528301887,0.9215686274509804,0.9038461538461541,2,3
exp_174,29,True,openl3,2,0.9574468085106383,0.9591836734693876,0.9215686274509804,0.94,2,3
exp_178,29,True,ised_features,2,0.8581560283687943,0.8039215686274509,0.8039215686274509,0.8039215686274509,2,3
exp_176,29,True,vggish,2,0.8865248226950354,0.8070175438596491,0.9019607843137256,0.8518518518518519,2,3
exp_177,29,False,vggish,2,0.8794326241134752,0.8269230769230769,0.8431372549019608,0.8349514563106797,2,3
exp_179,29,False,ised_features,2,0.8652482269503546,0.82,0.8039215686274509,0.8118811881188118,2,3
exp_101,16,False,ised_features,2,0.9290780141843972,0.9206349206349206,0.9206349206349206,0.9206349206349206,2,3
exp_100,16,True,ised_features,2,0.9219858156028368,0.9193548387096774,0.9047619047619048,0.912,2,3
exp_96,16,True,openl3,2,0.9787234042553192,1.0,0.9523809523809524,0.975609756097561,2,3
exp_98,16,True,vggish,2,0.9432624113475178,0.9661016949152542,0.9047619047619048,0.9344262295081968,2,3
exp_99,16,False,vggish,2,0.9148936170212766,0.9322033898305084,0.873015873015873,0.9016393442622952,2,3
exp_97,16,False,openl3,2,0.9007092198581559,0.9152542372881356,0.8571428571428571,0.8852459016393444,2,3
exp_66,11,True,openl3,2,0.9148936170212766,0.9545454545454546,0.875,0.9130434782608696,2,3
exp_68,11,True,vggish,2,0.8652482269503546,0.8840579710144928,0.8472222222222222,0.8652482269503546,2,3
exp_69,11,False,vggish,2,0.8865248226950354,0.9242424242424242,0.8472222222222222,0.8840579710144927,2,3
exp_67,11,False,openl3,2,0.9007092198581559,0.967741935483871,0.8333333333333334,0.8955223880597015,2,3
exp_70,11,True,ised_features,2,0.8936170212765957,0.9014084507042254,0.8888888888888888,0.8951048951048951,2,3
exp_71,11,False,ised_features,2,0.9078014184397164,0.9154929577464788,0.9027777777777778,0.9090909090909092,2,3
exp_110,18,True,vggish,2,0.9148936170212766,0.8771929824561403,0.9090909090909092,0.8928571428571428,2,3
exp_111,18,False,vggish,2,0.9148936170212766,0.9056603773584906,0.8727272727272727,0.8888888888888888,2,3
exp_108,18,True,openl3,2,0.9716312056737588,0.9636363636363636,0.9636363636363636,0.9636363636363636,2,3
exp_109,18,False,openl3,2,0.9007092198581559,0.8253968253968254,0.9454545454545454,0.8813559322033897,2,3
exp_113,18,False,ised_features,2,0.8652482269503546,0.86,0.7818181818181819,0.8190476190476189,2,3
exp_112,18,True,ised_features,2,0.8723404255319149,0.8490566037735849,0.8181818181818182,0.8333333333333334,2,3
exp_167,27,False,ised_features,2,0.8865248226950354,0.9,0.84375,0.870967741935484,2,3
exp_166,27,True,ised_features,2,0.9148936170212766,0.9333333333333332,0.875,0.9032258064516128,2,3
exp_163,27,False,openl3,2,0.9574468085106383,0.9393939393939394,0.96875,0.953846153846154,2,3
exp_164,27,True,vggish,2,0.9078014184397164,0.918032786885246,0.875,0.8959999999999999,2,3
exp_165,27,False,vggish,2,0.9078014184397164,0.8923076923076924,0.90625,0.8992248062015504,2,3
exp_162,27,True,openl3,2,0.9929078014184396,1.0,0.984375,0.9921259842519684,2,3
exp_121,20,False,openl3,2,0.950354609929078,0.9705882352941176,0.9295774647887324,0.9496402877697842,2,3
exp_120,20,True,openl3,2,0.9716312056737588,1.0,0.943661971830986,0.9710144927536232,2,3
exp_122,20,True,vggish,2,0.9432624113475178,0.9846153846153848,0.9014084507042254,0.9411764705882352,2,3
exp_125,20,False,ised_features,2,0.851063829787234,0.9464285714285714,0.7464788732394366,0.8346456692913385,2,3
exp_124,20,True,ised_features,2,0.8865248226950354,0.9508196721311476,0.8169014084507042,0.8787878787878788,2,3
exp_123,20,False,vggish,2,0.9432624113475178,1.0,0.8873239436619719,0.9402985074626864,2,3
exp_16,2,True,ised_features,2,0.8723404255319149,0.8421052631578947,0.8421052631578947,0.8421052631578947,2,3
exp_17,2,False,ised_features,2,0.8794326241134752,0.8571428571428571,0.8421052631578947,0.8495575221238938,2,3
exp_15,2,False,vggish,2,0.9219858156028368,0.8709677419354839,0.9473684210526316,0.9075630252100841,2,3
exp_12,2,True,openl3,2,0.9858156028368794,0.9661016949152542,1.0,0.9827586206896552,2,3
exp_13,2,False,openl3,2,0.9148936170212766,0.8947368421052632,0.8947368421052632,0.8947368421052632,2,3
exp_14,2,True,vggish,2,0.9290780141843972,0.8615384615384616,0.9824561403508772,0.9180327868852458,2,3
exp_32,5,True,vggish,2,0.8652482269503546,0.8245614035087719,0.8392857142857143,0.8318584070796461,2,3
exp_35,5,False,ised_features,2,0.9078014184397164,0.8909090909090909,0.875,0.8828828828828829,2,3
exp_34,5,True,ised_features,2,0.9290780141843972,0.9107142857142856,0.9107142857142856,0.9107142857142856,2,3
exp_33,5,False,vggish,2,0.8936170212765957,0.9183673469387756,0.8035714285714286,0.8571428571428571,2,3
exp_31,5,False,openl3,2,0.9007092198581559,0.8620689655172413,0.8928571428571429,0.8771929824561403,2,3
exp_30,5,True,openl3,2,0.9645390070921984,0.981132075471698,0.9285714285714286,0.9541284403669724,2,3
exp_27,4,False,vggish,2,0.9007092198581559,0.9090909090909092,0.8823529411764706,0.8955223880597014,2,3
exp_29,4,False,ised_features,2,0.8865248226950354,0.9333333333333332,0.8235294117647058,0.8749999999999999,2,3
exp_28,4,True,ised_features,2,0.8865248226950354,0.9333333333333332,0.8235294117647058,0.8749999999999999,2,3
exp_26,4,True,vggish,2,0.8723404255319149,0.8472222222222222,0.8970588235294118,0.8714285714285713,2,3
exp_24,4,True,openl3,2,0.950354609929078,1.0,0.8970588235294118,0.9457364341085271,2,3
exp_25,4,False,openl3,2,0.9432624113475178,0.96875,0.9117647058823528,0.9393939393939394,2,3
exp_20,3,True,vggish,2,0.9361702127659576,0.9622641509433962,0.8793103448275862,0.9189189189189187,2,3
exp_18,3,True,openl3,2,0.9574468085106383,0.9482758620689656,0.9482758620689656,0.9482758620689656,2,3
exp_19,3,False,openl3,2,0.9148936170212766,0.8965517241379308,0.8965517241379308,0.8965517241379308,2,3
exp_21,3,False,vggish,2,0.9361702127659576,0.9454545454545454,0.8965517241379308,0.920353982300885,2,3
exp_23,3,False,ised_features,2,0.8865248226950354,0.9375,0.7758620689655172,0.8490566037735848,2,3
exp_22,3,True,ised_features,2,0.8936170212765957,0.9215686274509804,0.8103448275862069,0.8623853211009175,2,3
exp_234,39,True,openl3,2,0.950354609929078,0.9629629629629628,0.912280701754386,0.9369369369369368,2,3
exp_235,39,False,openl3,2,0.8794326241134752,0.9166666666666666,0.7719298245614035,0.8380952380952379,2,3
exp_239,39,False,ised_features,2,0.8865248226950354,0.9555555555555556,0.7543859649122807,0.8431372549019609,2,3
exp_237,39,False,vggish,2,0.9078014184397164,0.94,0.8245614035087719,0.8785046728971964,2,3
exp_236,39,True,vggish,2,0.9078014184397164,0.8793103448275862,0.8947368421052632,0.8869565217391304,2,3
